Country,Score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Georgia,5.184700012207031,5.282861709594727,5.086538314819336,1.4669232368469238,0.9900111556053162,0.5243762731552124,0.6798141598701477,0.0,0.17428675293922424,1.3492484092712402
Iraq,5.165999889373779,5.28285551071167,5.049144268035889,1.2487026453018188,0.9959483742713928,0.4981996417045593,0.4245246350765228,0.14129121601581573,0.04781985655426979,1.8094677925109863
Nepal,5.158400058746338,5.290219783782959,5.026580333709717,0.9653639197349548,0.9901836514472961,0.44261762499809265,0.65291428565979,0.20935767889022827,0.1149136945605278,1.7830300331115723
Laos,5.138899803161621,5.260721206665039,5.017078399658203,1.2084683179855347,0.8462979197502136,0.4229126572608948,0.7964661121368408,0.16954879462718964,0.16654132306575775,1.5286202430725098
Gabon,5.106299877166748,5.243229866027832,4.969369888305664,1.4034374952316284,1.0376240015029907,0.3442910611629486,0.5158148407936096,0.04527805745601654,0.09986981004476547,1.6599993705749512
Ivory Coast,5.080100059509277,5.223805904388428,4.936394214630127,1.08013117313385,0.5776305198669434,0.2875821590423584,0.5469511151313782,0.12049251794815063,0.16406969726085663,2.3032453060150146
Guinea,5.0233001708984375,5.165557384490967,4.881042957305908,0.8305673599243164,0.6216126084327698,0.2355300635099411,0.5212848782539368,0.21010270714759827,0.1074468269944191,2.496746778488159
Turkiye,4.975299835205078,5.0848212242126465,4.86577844619751,1.7015780210494995,1.1750115156173706,0.6310677528381348,0.20207588374614716,0.06806235015392303,0.11476534605026245,1.0827827453613281
Senegal,4.968599796295166,5.096045970916748,4.841153621673584,0.9273591637611389,0.7506789565086365,0.3921445608139038,0.6067526340484619,0.15201134979724884,0.06868311017751694,2.0709214210510254
Iran,4.922800064086914,5.024016857147217,4.821583271026611,1.4351887702941895,1.1361976861953735,0.5707837343215942,0.3655014634132385,0.23503893613815308,0.12344294786453247,1.0566022396087646
